190425 092922.985|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin\logs directory.
190425 092922.986|INFO|AWT-EventQueue-0|info|
190425 092922.986|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_211 build 5102 Windows 10 10.0 (amd64) 
190425 092922.986|INFO|AWT-EventQueue-0|info|Login: 192 (aka team192)
190425 092922.987|INFO|AWT-EventQueue-0|startLog|Working directory is E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin
190425 092922.988|INFO|AWT-EventQueue-0|startLog|Process id is 10232@ChuDucAnh
190425 092922.988|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM192 @ site 0
190425 092922.988|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM192 @ site 0
190425 092922.994|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM192 @ site 0 -> SERVER0 @ site 0
190425 092922.996|INFO|Thread-4|run|send(Serializable)
190425 092923.002|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM192 @ site 0 -> SERVER0 @ site 0
190425 092923.003|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190425 092923.213|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190425 092923.334|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #5194 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 092923.335|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #5194, o#5194 ) recieveObject
190425 092923.335|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default-8253455061267767084)
190425 092923.335|INFO|Thread-5|dumpPacket|    To: TEAM192 @ site 1
190425 092923.336|INFO|Thread-5|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@3a3fd15b
190425 092923.336|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@34f8386c
190425 092923.336|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
190425 092923.336|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@30c7ba2b
190425 092923.336|INFO|Thread-5|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@75c53257
190425 092923.336|INFO|Thread-5|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@313480bd
190425 092923.337|INFO|Thread-5|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@44fae5af
190425 092923.337|INFO|Thread-5|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@49e109f9
190425 092923.337|INFO|Thread-5|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@15eacd18
190425 092923.337|INFO|Thread-5|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@4e8670
190425 092923.337|INFO|Thread-5|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@138acc4b
190425 092923.337|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@52e5a102
190425 092923.338|INFO|Thread-5|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-1109253276938778219
190425 092923.338|INFO|Thread-5|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@11a4344b
190425 092923.338|INFO|Thread-5|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@65ad4d09
190425 092923.338|INFO|Thread-5|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@20003d63
190425 092923.338|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@5f1265d0
190425 092923.338|INFO|Thread-5|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@6f241415
190425 092923.339|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
