190425 092923.377|CONFIG|Thread-5|setFileHandlers|Now logging to E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin\logs directory.
190425 092923.377|INFO|Thread-5|info|
190425 092923.377|INFO|Thread-5|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_211 build 5102 Windows 10 10.0 (amd64) 
190425 092923.378|INFO|Thread-5|info|Login: team192 (aka team192)
190425 092923.378|INFO|Thread-5|startLog|Working directory is E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin
190425 092923.378|INFO|Thread-5|startLog|Process id is 10232@ChuDucAnh
190425 092923.379|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
190425 092923.394|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
190425 092923.799|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
190425 092923.800|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #5194 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 092923.800|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #5194 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 093006.031|WARNING|AWT-EventQueue-0|selectMainFile|Problem reading new main file selection D:\Download\dr, main file not changed
190425 093022.851|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for C C/C++ file: D:\Download\drive-download-20190425T022816Z-001\C.cpp
190425 093022.853|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM192 @ site 1 -> SERVER0 @ site 1
190425 093022.854|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM192 @ site 1 -> SERVER0 @ site 1
190425 093023.138|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #5205 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 093023.138|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #5205, o#5205 ) recieveObject
190425 093023.138|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default-8253455061267767084)
190425 093023.138|INFO|Thread-8|dumpPacket|    To: TEAM192 @ site 1
190425 093023.140|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 526 QUEUED_FOR_COMPUTER_JUDGEMENT 2941 min 176489306ms from TEAM192 @ site 1 id Run-8521341215607473895 problem C--5861062071369059839 lang C/C++-5994051450948502030
190425 093023.140|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #5205 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 093023.140|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #5205, o#5205 ) handlePacket
190425 093023.141|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default-8253455061267767084)
190425 093023.141|INFO|Thread-8|dumpPacket|    To: TEAM192 @ site 1
190425 093023.141|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 526 QUEUED_FOR_COMPUTER_JUDGEMENT 2941 min 176489306ms from TEAM192 @ site 1 id Run-8521341215607473895 problem C--5861062071369059839 lang C/C++-5994051450948502030
190425 093024.167|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #5205 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 093028.502|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #5211 SERVER0 @ site 1 -> TEAM192 @ site 1
190425 093028.503|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #5211, o#5211 ) recieveObject
190425 093028.504|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default-8253455061267767084)
190425 093028.504|INFO|Thread-9|dumpPacket|    To: TEAM192 @ site 1
190425 093028.505|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--8489124499629215782 id JudgementRecord--1852190976253065292
190425 093028.506|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
